Sample_ID	Target	Quantity_mean	Plate	Snail ID	Tank ID	Species	Population	Type	Type code	Tube Code
A.1.Ba.G	16s	1257593.594	1	A	1	Ba	Ba	Gut	G	A1 Ba G
A.1.Ba.H	16s	4253.869019	1	A	1	Ba	Ba	Hemolymph	H	A1 Ba H
A.1.Ba.L	16s	561500.0391	1	A	1	Ba	Ba	Hepatopancreas	L	A1 Ba L
A.1.Ba.O	16s	78770.71289	1	A	1	Ba	Ba	Ovotestis	O	A1 Ba O
A.1.Ba.S	16s	382727.8125	1	A	1	Ba	Ba	Stomach	S	A1 Ba S
A.2.Ba.G	16s	279134.9609	1	A	2	Ba	Ba	Gut	G	A2 Ba G
A.2.Ba.H	16s	210769.5313	1	A	2	Ba	Ba	Hemolymph	H	A2 Ba H
A.2.Ba.L	16s	343357.1875	1	A	2	Ba	Ba	Hepatopancreas	L	A2 Ba L
A.2.Ba.O	16s	82051.93359	1	A	2	Ba	Ba	Ovotestis	O	A2 Ba O
A.2.Ba.S	16s	425148.4375	1	A	2	Ba	Ba	Stomach	S	A2 Ba S
B.1.Ba.G	16s	880037.4219	3	B	1	Ba	Ba	Gut	G	B1 Ba G
B.1.Ba.H	16s	873.3045197	3	B	1	Ba	Ba	Hemolymph	H	B1 Ba H
B.1.Ba.L	16s	1931448.438	3	B	1	Ba	Ba	Hepatopancreas	L	B1 Ba L
B.1.Ba.O	16s	75194.05273	3	B	1	Ba	Ba	Ovotestis	O	B1 Ba O
B.1.Ba.S	16s	620915.8594	3	B	1	Ba	Ba	Stomach	S	B1 Ba S
B.2.Ba.G	16s	2203998.125	3	B	2	Ba	Ba	Gut	G	B2 Ba G
B.2.Ba.H	16s	4351.192322	3	B	2	Ba	Ba	Hemolymph	H	B2 Ba H
B.2.Ba.L	16s	943963.3594	3	B	2	Ba	Ba	Hepatopancreas	L	B2 Ba L
B.2.Ba.O	16s	164378.1445	3	B	2	Ba	Ba	Ovotestis	O	B2 Ba O
B.2.Ba.S	16s	1127771.406	3	B	2	Ba	Ba	Stomach	S	B2 Ba S
C.1.Ba.G	16s	786387.3438	3	C	1	Ba	Ba	Gut	G	C1 Ba G
C.1.Ba.H	16s	1020.65094	3	C	1	Ba	Ba	Hemolymph	H	C1 Ba H
C.1.Ba.L	16s	2928446.25	3	C	1	Ba	Ba	Hepatopancreas	L	C1 Ba L
C.1.Ba.O	16s	67713.99414	3	C	1	Ba	Ba	Ovotestis	O	C1 Ba O
C.1.Ba.S	16s	859071.9531	3	C	1	Ba	Ba	Stomach	S	C1 Ba S
C.2.Ba.G	16s	554621.875	3	C	2	Ba	Ba	Gut	G	C2 Ba G
C.2.Ba.H	16s	269.3666458	3	C	2	Ba	Ba	Hemolymph	H	C2 Ba H
C.2.Ba.L	16s	527987.4219	3	C	2	Ba	Ba	Hepatopancreas	L	C2 Ba L
C.2.Ba.O	16s	11391.17676	3	C	2	Ba	Ba	Ovotestis	O	C2 Ba O
C.2.Ba.S	16s	1049758.047	3	C	2	Ba	Ba	Stomach	S	C2 Ba S
D.1.Ba.G	16s	209803.125	1	D	1	Ba	Ba	Gut	G	D1 Ba G
D.1.Ba.H	16s	1115.8255	1	D	1	Ba	Ba	Hemolymph	H	D1 Ba H
D.1.Ba.L	16s	43580.24902	1	D	1	Ba	Ba	Hepatopancreas	L	D1 Ba L
D.1.Ba.O	16s	8123.587646	1	D	1	Ba	Ba	Ovotestis	O	D1 Ba O
D.1.Ba.S	16s	229824.8438	1	D	1	Ba	Ba	Stomach	S	D1 Ba S
D.2.Ba.G	16s	261140.332	1	D	2	Ba	Ba	Gut	G	D2 Ba G
D.2.Ba.H	16s	771.9488525	1	D	2	Ba	Ba	Hemolymph	H	D2 Ba H
D.2.Ba.L	16s	2819.256287	1	D	2	Ba	Ba	Hepatopancreas	L	D2 Ba L
D.2.Ba.O	16s	4059.265137	1	D	2	Ba	Ba	Ovotestis	O	D2 Ba O
D.2.Ba.S	16s	136160.5371	1	D	2	Ba	Ba	Stomach	S	D2 Ba S
E.1.Ba.G	16s	503.7766266	5	E	1	Ba	Ba	Gut	G	E1 Ba G
E.1.Ba.H	16s	100.147295	2	E	1	Ba	Ba	Hemolymph	H	E1 Ba H
E.1.Ba.L	16s	1371076.25	2	E	1	Ba	Ba	Hepatopancreas	L	E1 Ba L
E.1.Ba.O	16s	9628.602905	2	E	1	Ba	Ba	Ovotestis	O	E1 Ba O
E.1.Ba.S	16s	310796.7578	2	E	1	Ba	Ba	Stomach	S	E1 Ba S
E.2.Ba.G	16s	8287.648926	2	E	2	Ba	Ba	Gut	G	E2 Ba G
E.2.Ba.H	16s	10480.85327	2	E	2	Ba	Ba	Hemolymph	H	E2 Ba H
E.2.Ba.L	16s	83892.68555	2	E	2	Ba	Ba	Hepatopancreas	L	E2 Ba L
E.2.Ba.O	16s	9651.282959	2	E	2	Ba	Ba	Ovotestis	O	E2 Ba O
E.2.Ba.S	16s	187757.8711	2	E	2	Ba	Ba	Stomach	S	E2 Ba S
F.1.Ba.W	16s	857.4410248	5	F	1	Ba	Ba	Whole snail	W	F1 Ba W
F.2.Ba.W	16s	54.02769566	5	F	2	Ba	Ba	Whole snail	W	F2 Ba W
G.1.Ba.W	16s	36.6792345	5	G	1	Ba	Ba	Whole snail	W	G1 Ba W
G.2.Ba.W	16s	12265.23804	5	G	2	Ba	Ba	Whole snail	W	G2 Ba W
A.1.Ba.G	piwi4	34494.50195	1	A	1	Ba	Ba	Gut	G	A1 Ba G
A.1.Ba.L	piwi4	28312.67334	1	A	1	Ba	Ba	Hepatopancreas	L	A1 Ba L
A.1.Ba.O	piwi4	33581.44531	1	A	1	Ba	Ba	Ovotestis	O	A1 Ba O
A.1.Ba.S	piwi4	36159.47754	1	A	1	Ba	Ba	Stomach	S	A1 Ba S
A.2.Ba.G	piwi4	30060.19043	1	A	2	Ba	Ba	Gut	G	A2 Ba G
A.2.Ba.L	piwi4	11047.65991	1	A	2	Ba	Ba	Hepatopancreas	L	A2 Ba L
A.2.Ba.O	piwi4	21842.66357	1	A	2	Ba	Ba	Ovotestis	O	A2 Ba O
A.2.Ba.S	piwi4	20089.15527	1	A	2	Ba	Ba	Stomach	S	A2 Ba S
B.1.Ba.G	piwi4	74511.39648	3	B	1	Ba	Ba	Gut	G	B1 Ba G
B.1.Ba.L	piwi4	23916.12305	3	B	1	Ba	Ba	Hepatopancreas	L	B1 Ba L
B.1.Ba.O	piwi4	83764.4043	3	B	1	Ba	Ba	Ovotestis	O	B1 Ba O
B.1.Ba.S	piwi4	20685.03418	3	B	1	Ba	Ba	Stomach	S	B1 Ba S
B.2.Ba.G	piwi4	6887.468262	3	B	2	Ba	Ba	Gut	G	B2 Ba G
B.2.Ba.L	piwi4	10938.85986	3	B	2	Ba	Ba	Hepatopancreas	L	B2 Ba L
B.2.Ba.O	piwi4	41269.94629	3	B	2	Ba	Ba	Ovotestis	O	B2 Ba O
B.2.Ba.S	piwi4	12521.05957	3	B	2	Ba	Ba	Stomach	S	B2 Ba S
C.1.Ba.G	piwi4	110220.2539	3	C	1	Ba	Ba	Gut	G	C1 Ba G
C.1.Ba.L	piwi4	124368.6328	3	C	1	Ba	Ba	Hepatopancreas	L	C1 Ba L
C.1.Ba.O	piwi4	100051.3477	3	C	1	Ba	Ba	Ovotestis	O	C1 Ba O
C.1.Ba.S	piwi4	33615.26611	3	C	1	Ba	Ba	Stomach	S	C1 Ba S
C.2.Ba.G	piwi4	65678.67676	3	C	2	Ba	Ba	Gut	G	C2 Ba G
C.2.Ba.L	piwi4	39784.87305	3	C	2	Ba	Ba	Hepatopancreas	L	C2 Ba L
C.2.Ba.O	piwi4	27245.17578	3	C	2	Ba	Ba	Ovotestis	O	C2 Ba O
C.2.Ba.S	piwi4	23951.12305	3	C	2	Ba	Ba	Stomach	S	C2 Ba S
D.1.Ba.G	piwi4	7608.444824	1	D	1	Ba	Ba	Gut	G	D1 Ba G
D.1.Ba.L	piwi4	13203.97949	1	D	1	Ba	Ba	Hepatopancreas	L	D1 Ba L
D.1.Ba.O	piwi4	25731.22559	1	D	1	Ba	Ba	Ovotestis	O	D1 Ba O
D.1.Ba.S	piwi4	7015.338135	1	D	1	Ba	Ba	Stomach	S	D1 Ba S
D.2.Ba.G	piwi4	17928.25928	1	D	2	Ba	Ba	Gut	G	D2 Ba G
